min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,owned,weight
1,4,120,60,120,2017,8.98893,8.61858,15376,12,25928,3.7543
2,4,60,60,60,2015,8.6614,8.50163,26063,13,41605,2.821
2,4,240,180,240,2015,8.60673,8.30183,12352,14,15848,4.3678
1,5,120,120,120,2016,8.38461,8.19914,26004,12,33340,3.2456
2,2,180,120,180,2005,8.33954,8.19787,31301,13,42952,3.5518
2,4,240,180,240,2016,8.47439,8.16545,13336,14,20682,3.6311
1,5,115,90,115,2016,8.29158,8.108,29219,14,38279,3.3609
2,5,150,60,150,2012,8.23703,8.09296,29309,12,32637,3.9505
2,4,150,75,150,2016,8.28574,8.04047,13521,12,16869,3.7011
1,4,1000,5,1000,2017,8.67228,8.02458,6057,14,12543,2.8578
1,4,150,60,150,2017,8.68217,8.00732,4860,12,6243,4.2966
2,4,90,30,90,2011,8.12383,8.00679,31613,12,43992,3.0272
2,2,30,30,30,2015,8.14559,8.00627,32165,10,49800,2.2307
2,4,180,150,180,2012,8.37781,7.98727,8217,13,13216,4.0418
1,7,210,30,210,2013,8.1177,7.95343,21145,12,26974,3.7823
2,5,150,90,150,2002,8.06034,7.94839,52849,12,61011,3.2932
1,5,150,30,150,2007,8.02172,7.92319,53481,12,64468,3.6326
1,4,240,60,240,2011,8.11816,7.91554,21524,14,31976,4.2406
1,6,90,45,90,2015,8.17385,7.91061,12037,13,16732,2.9307
1,2,120,60,120,2016,8.2564,7.90793,12047,14,22612,3.2205
1,5,180,120,180,2016,8.20129,7.88669,12396,14,19680,2.6623
2,5,100,100,100,2013,8.07072,7.88377,15266,13,17797,3.1076
2,4,90,60,90,2015,8.07481,7.88092,20998,14,26099,2.889
2,4,90,60,90,2016,8.21731,7.86875,9195,14,14532,2.4727
2,5,120,60,120,2014,8.13522,7.85376,14563,14,25367,3.2846
2,4,90,90,90,2014,8.07954,7.8537,12709,12,14851,3.1077
2,4,240,240,240,2006,8.02876,7.85126,16329,12,16397,4.1703
2,5,240,120,240,2015,8.22008,7.83662,7406,14,9193,4.2209
2,6,120,120,120,2004,7.91299,7.82722,46701,12,53847,3.2821
1,4,120,30,120,2016,8.18983,7.81928,8145,12,10846,3.8636
3,6,480,240,480,2017,8.90337,7.8159,3053,14,4877,4.1338
2,6,200,60,200,2011,7.97402,7.80979,22633,14,24441,3.6863
2,4,60,60,60,2017,8.46509,7.80304,4181,14,9792,3.1944
1,6,180,60,180,2015,8.89537,7.79905,4739,17,6872,4.2361
2,4,180,120,180,2007,8.01122,7.78889,11465,14,12122,3.8757
1,4,120,60,120,2012,7.95554,7.78544,23131,14,35394,3.7333
1,5,150,30,150,2008,7.91345,7.78218,21356,12,23447,3.7559
2,4,90,90,90,2012,7.93022,7.78148,21391,13,24528,3.6361
2,2,45,45,45,2012,7.92234,7.74019,22767,14,35645,3.3592
2,4,100,40,100,2015,7.96457,7.73909,12780,12,15116,3.1886
2,4,45,30,45,2017,8.01887,7.73689,11182,8,15712,1.8458
2,7,30,30,30,2010,7.80273,7.71364,61466,10,80301,2.3429
2,6,120,90,120,2012,7.88728,7.70528,14261,12,17371,3.3432
2,8,15,15,15,2015,7.78988,7.69843,42207,14,66565,1.3303
1,4,120,90,120,2017,8.4231,7.69611,4015,13,6198,3.8696
2,5,150,60,150,2005,7.82987,7.68489,23494,12,23855,3.8189
1,8,240,120,240,2013,7.9131,7.68286,20599,14,30839,3.3129
2,4,240,90,240,2015,7.8835,7.67918,15847,12,24194,2.6464
2,4,60,30,60,2007,7.76608,7.67254,37925,12,45477,2.9763
3,6,240,180,240,2005,7.89524,7.67162,16559,14,18723,4.2413
2,5,120,60,120,2012,7.78071,7.66562,34638,12,42406,2.4908
2,4,80,40,80,2014,7.79888,7.6562,22271,13,29058,2.8918
2,6,240,120,240,2010,7.84068,7.65269,14262,14,14703,4.035
3,5,120,90,120,2018,8.19132,7.65202,5849,14,10550,3.194
1,2,120,60,120,2014,8.17292,7.65047,4795,13,7787,3.9068
2,5,120,60,120,1995,7.78817,7.6475,20030,12,19232,3.0764
2,2,30,15,30,2014,7.76056,7.64154,27460,8,40272,1.7081
1,4,120,30,120,2017,8.13711,7.6414,5325,12,7682,3.4133
2,4,30,30,30,2009,7.76244,7.63396,25448,13,36342,2.4395
2,5,45,45,45,2014,7.77702,7.62599,18671,13,23686,2.7518
2,4,60,30,60,2016,7.878,7.6243,11763,12,15831,2.2335
3,6,300,120,300,2008,7.75261,7.61095,28025,10,31125,3.2292
2,2,45,30,45,2012,7.81743,7.60547,19398,14,32757,2.4727
2,5,120,60,120,2014,7.74899,7.60396,28885,13,39714,3.0008
2,4,150,75,150,2015,7.94952,7.59817,7117,12,9143,3.8826
1,8,120,60,120,1981,7.8228,7.5938,11552,10,22939,2.7516
2,4,90,90,90,2010,7.76852,7.58059,13379,12,14444,3.4594
1,4,150,60,150,2015,8.02227,7.57857,5470,13,7996,4.2843
2,4,90,90,90,1997,7.71566,7.57696,21889,12,24223,3.5289
2,4,120,90,120,2013,7.80207,7.57568,10778,12,11582,3.4161
2,4,120,60,120,2011,7.79486,7.57118,11347,12,13359,3.6738
2,4,30,30,30,2008,7.66473,7.56879,63084,13,81790,2.3688
2,4,45,45,45,2008,7.65466,7.5631,74266,8,107996,2.4258
2,4,20,20,20,2016,7.80081,7.5476,11212,8,18561,1.75
2,4,30,30,30,1876,7.79449,7.54374,8702,8,6419,1.277
1,4,120,30,120,2017,8.15566,7.54201,4242,15,6802,3.9227
2,5,120,90,120,2012,7.76112,7.53054,11422,13,13593,2.9867
2,5,120,120,120,2012,7.75571,7.52729,17418,14,27719,3.2055
2,4,90,60,90,2008,7.61731,7.51835,34898,10,37220,2.4978
2,4,120,120,120,2014,7.72844,7.51006,12653,13,16773,3.8336
1,4,90,90,90,2014,7.6656,7.50746,16727,13,21924,2.6687
2,4,180,120,180,2015,8.01203,7.50592,5240,14,9309,3.7738
2,4,120,120,120,2004,7.78702,7.50523,9247,12,11785,3.8397
3,6,240,120,240,2011,7.69226,7.49945,21492,14,27874,3.6694
2,4,60,60,60,2014,7.90236,7.49555,6778,13,11107,2.5229
5,10,30,30,30,2012,7.66148,7.49366,19734,13,27796,1.7749
2,2,20,20,20,2014,7.62809,7.49186,24384,12,36553,1.9706
1,5,45,45,45,2014,7.81708,7.48886,8073,17,11840,2.7176
1,4,180,60,180,2011,7.7502,7.48062,8350,13,10308,3.8981
2,5,45,45,45,2016,8.05208,7.47722,4353,8,9057,2.6615
2,5,60,40,60,2014,7.62369,7.47122,16600,10,21279,2.5855
2,5,60,30,60,2005,7.57594,7.46605,42152,8,55364,1.9595
3,4,120,60,120,2009,7.67797,7.46053,12463,13,13286,3.181
1,4,90,90,90,2012,7.59573,7.46009,17337,8,20798,2.7799
1,6,75,45,75,2017,8.02188,7.45856,4710,14,10994,2.8421
2,6,120,120,120,2005,7.69013,7.45667,9964,10,10456,3.0276
2,2,60,60,60,2006,7.78164,7.45336,7167,12,9131,2.6957
1,5,200,40,200,2013,7.69987,7.45154,9366,14,10247,3.5376
2,8,60,45,60,2016,7.71093,7.43976,9062,14,12339,2.1104
3,5,120,60,120,2008,7.58087,7.42682,22001,12,26591,2.5576
2,2,480,480,480,1999,8.00093,7.42618,3864,14,6925,3.8276
2,4,90,90,90,2016,7.96173,7.42378,4146,12,6631,3.3267
2,4,120,60,120,2015,7.79448,7.42103,6288,12,8156,3.2237
2,2,180,60,180,2006,7.90358,7.41796,4656,12,6697,3.2117
1,2,60,60,60,2011,7.63221,7.41446,16799,13,25794,3.138
2,2,30,30,30,2009,7.5322,7.41332,24085,12,33335,1.523
2,4,90,90,90,2004,7.62115,7.40462,10156,12,10076,3.3802
2,4,90,60,90,2015,7.78023,7.40129,6364,10,9778,2.5215
2,5,90,45,90,2009,7.63138,7.40116,9432,12,9256,3.1329
1,6,180,60,180,2015,7.82289,7.39962,7716,10,14137,2.5517
2,3,60,30,60,2007,7.65653,7.39728,9065,8,13026,1.9882
2,4,90,60,90,2011,7.554,7.39691,15820,12,19781,3.0783
3,5,90,90,90,2009,7.64316,7.39632,8567,10,9296,3.455
2,4,30,30,30,2014,7.50214,7.39608,38661,10,52382,1.8317
2,4,30,15,30,2017,7.87523,7.39398,4493,11,10141,1.3158
1,4,120,90,120,2014,7.74404,7.39299,6063,12,8231,3.5882
2,4,90,60,90,2016,7.82001,7.39245,6127,14,8794,2.9367
1,6,120,120,120,2002,7.69365,7.39197,7108,13,6586,3.9281
2,8,60,30,60,2004,7.54025,7.39114,21151,8,26753,2.2765
2,5,100,75,100,2000,7.56666,7.38699,13706,12,14532,3.2537
2,6,90,90,90,2013,7.69633,7.3864,7405,13,7159,2.9378
4,4,60,60,60,1991,7.59901,7.38235,11365,10,16778,2.3426
2,2,180,30,180,+AC0-2200,7.65698,7.38075,12485,8,16795,3.9772
1,4,120,60,120,2017,8.24022,7.37516,2595,12,5154,4.4965
1,5,45,45,45,2012,7.6162,7.37192,15257,14,23135,2.4631
2,5,60,30,60,2004,7.46234,7.36423,55115,8,70909,1.8694
2,4,120,60,120,2015,7.81708,7.35754,4995,12,7998,2.5824
2,4,60,60,60,2007,7.45905,7.34999,23460,10,24256,2.3211
3,5,150,150,150,2006,7.56439,7.34966,11359,12,11400,3.3745
1,4,90,45,90,2014,7.51758,7.34655,15365,10,20782,2.7754
2,5,90,60,90,2009,7.53779,7.34329,14015,13,15087,2.8325
2,2,60,30,60,2003,7.69679,7.34059,6002,9,7443,2.7118
1,4,120,30,120,2016,8.22774,7.34054,2638,12,4461,3.375
2,2,90,45,90,2013,7.86711,7.33793,4371,14,7475,2.7709
2,5,60,45,60,1999,7.47009,7.33445,16538,12,15679,2.3525
1,5,120,120,120,2013,7.54572,7.33157,10114,14,12368,3.3235
2,4,90,90,90,2011,7.54245,7.33137,10047,13,13341,3.5554
2,5,45,30,45,2000,7.43376,7.33059,77062,8,108796,1.9317
2,5,120,90,120,2007,7.57048,7.32813,9236,10,7806,3.1313
2,2,200,40,200,1996,7.82153,7.3273,4477,12,6899,3.4194
2,2,90,90,90,2012,7.73769,7.32544,6503,13,11246,3.6382
2,6,180,120,180,2006,7.62037,7.32464,7589,13,6480,3.5748
2,2,180,180,180,2011,8.05306,7.32073,2844,12,5065,2.7344
2,4,30,30,30,2011,7.57652,7.31905,9382,9,12105,2.5175
2,8,20,20,20,2016,7.58529,7.31818,9428,8,17974,1.3099
2,4,120,60,120,2017,8.02278,7.31798,3102,13,7774,2.75
2,4,240,180,240,2010,7.67912,7.31299,6960,14,9032,3.7621
2,5,120,60,120,2016,7.86923,7.31268,4428,14,11184,3.4026
1,5,30,30,30,2008,7.49416,7.31265,12891,12,17576,2.9429
2,5,60,60,60,2005,7.49165,7.31152,11555,12,12799,2.9233
2,2,60,60,60,2012,7.59792,7.31134,7239,12,10158,2.3789
2,6,120,120,120,2014,8.08767,7.30793,2658,12,4864,3.2075
1,4,45,30,45,2017,7.65501,7.30777,6786,14,10740,1.8504
2,5,50,30,50,2015,7.4863,7.30776,12777,8,16970,2.2507
2,2,20,20,20,1993,7.45398,7.30614,25708,13,28245,3.1634
2,4,90,90,90,2015,7.58338,7.3053,8264,13,12933,2.5483
2,7,42,42,42,2015,7.45528,7.30462,18627,10,28305,1.9197
2,4,120,60,120,2013,7.58174,7.30364,7376,12,10105,3.7452
2,2,120,90,120,2007,7.59002,7.30202,7589,12,8940,3.1973
2,4,120,60,120,2016,7.84619,7.29823,3795,12,5057,3.2212
2,4,60,60,60,2012,7.45205,7.29786,16042,14,19382,2.7705
3,5,180,60,180,2014,7.82699,7.29653,4511,12,7127,3.1311
2,4,90,90,90,2010,7.47176,7.29642,12445,13,12783,2.572
2,5,90,60,90,2010,7.57863,7.28503,6793,12,6555,3.0916
3,12,30,30,30,2011,7.49874,7.28393,11873,8,16046,1.2293
2,6,120,120,120,2009,7.73311,7.27831,4603,12,4979,3.4952
2,7,360,180,360,1986,7.8315,7.27755,3658,14,5288,4.1566
2,2,20,20,20,2015,7.94939,7.27691,3214,12,8235,1.931
4,12,20,20,20,2014,7.55334,7.27667,8309,14,12764,1.6069
2,6,360,180,360,2006,7.94223,7.2737,3131,12,4663,4.1477
1,4,60,60,60,2016,8.07464,7.27319,2907,14,5187,2.8272
2,5,180,120,180,2015,7.61427,7.27253,6775,14,13646,3.1686
2,4,60,30,60,1998,7.43674,7.26441,12808,10,12860,2.5033
1,6,120,45,120,2017,8.05886,7.26416,3143,18,7300,3.0075
2,4,180,60,180,2015,7.81628,7.26119,3799,14,6918,4.0676
2,4,240,120,240,2010,7.47001,7.25962,12533,13,16541,3.8662
5,10,30,30,30,2009,7.37075,7.25784,29330,13,44386,1.627
2,2,20,15,20,2014,7.58211,7.25646,6859,8,11692,1.6778
2,2,30,30,30,2012,7.46001,7.25145,10198,13,15313,2.3468
2,2,30,30,30,2000,7.41761,7.24881,13319,12,16309,1.905
2,4,30,20,30,2016,7.71856,7.24779,5038,12,10094,1.9452
2,2,120,120,120,2015,7.9443,7.24438,3411,14,7131,3.1209
2,4,20,15,20,2016,7.42675,7.24379,13187,8,22174,1.1949
2,4,90,90,90,2009,7.43221,7.24191,11533,12,12629,3.5399
2,6,120,120,120,2011,7.46549,7.24095,10691,13,14528,2.6755
2,5,80,40,80,2009,7.32285,7.24003,49287,8,63736,2.3646
3,5,240,240,240,1986,7.65016,7.2349,4664,14,5364,4.3485
1,4,135,60,135,2016,8.3221,7.23486,1851,14,4211,4.0776
5,10,45,45,45,2016,7.59419,7.23231,7864,13,10973,1.7226
1,6,90,45,90,2016,7.75055,7.22932,3790,12,6698,2.4889
1,4,60,60,60,2008,7.37504,7.22648,16176,12,21190,2.9032
2,6,90,45,90,2015,7.56472,7.22618,6016,14,8492,2.2321
2,2,45,45,45,2009,7.58023,7.22615,6043,14,8606,2.4848
2,5,240,180,240,2005,7.811,7.22608,3224,14,3989,4
3,6,30,30,30,2008,7.32175,7.22186,36962,6,49111,1.2463
2,2,120,120,120,2004,7.87053,7.21864,3160,12,2943,3.1575
2,4,60,60,60,2013,7.4676,7.21722,8150,10,9387,2.7516
2,5,120,60,120,2013,7.5718,7.21676,5577,12,6844,3.1161
1,4,90,45,90,2015,7.6543,7.21662,4699,12,8656,2.3026
